record_id,event_time_utc,asset_class,program_value_band,schedule_criticality,robot_type,task_type,shift,terrain,weather,autonomy_level,battery_pct,signal_strength_pct,payload_kg,task_duration_min,cycle_time_sec,energy_used_kwh,operator_interventions,near_miss_count,planned_maintenance_flag,unplanned_downtime_min,qa_tolerance_mm,qa_deviation_mm,qa_pass_flag,value_at_risk_musd,delay_risk_pct,estimated_rework_cost_usd,productivity_score,task_success_label
CRI-000001,2025-01-01T06:09:00Z,airport_terminal,high,high,autonomous_excavator,precision_grading,day,flat,clear,4,87,72,1183,131,170.61,73.47,2,0,0,2,4.68,4.92,0,3.81,15.5,57300.51,85.2,0
CRI-000002,2025-01-01T06:18:00Z,metro_tunnel,very_high,high,rebar_tying_robot,rebar_tying,day,confined,clear,3,29,82,82,42,24.97,2.21,5,0,0,10,9.84,8.02,1,6.64,34.14,0.0,69.36,0
CRI-000003,2025-01-01T06:27:00Z,airport_terminal,high,high,autonomous_excavator,bulk_excavation,night,sloped,light_rain,5,66,78,1466,209,210.46,123.4,0,0,0,6,5.11,5.26,0,4.3,24.4,38415.78,77.7,0
CRI-000004,2025-01-01T06:36:00Z,semiconductor_fab,very_high,critical,material_transport_rover,material_transport,night,sloped,windy,3,22,95,1114,310,322.91,41.95,2,0,0,8,2.31,1.91,1,5.38,39.08,0.0,63.72,0
CRI-000005,2025-01-01T06:45:00Z,semiconductor_fab,very_high,critical,inspection_drone,progress_scan,day,flat,high_heat,5,83,85,4,98,93.43,3.21,3,0,0,4,1.84,1.09,1,7.76,14.06,0.0,87.34,1
CRI-000006,2025-01-01T06:54:00Z,data_center,high,critical,material_transport_rover,material_transport,day,flat,windy,4,32,79,1328,276,288.59,47.56,1,0,0,6,2.32,2.29,1,2.79,17.73,0.0,84.37,1
CRI-000007,2025-01-01T07:03:00Z,long_span_bridge,very_high,critical,inspection_drone,qa_inspection,day,flat,windy,3,57,77,3,63,106.49,2.11,5,0,0,8,7.89,7.28,1,10.55,32.71,0.0,70.09,0
CRI-000008,2025-01-01T07:12:00Z,airport_terminal,high,high,rebar_tying_robot,rebar_tying,day,mixed,light_rain,3,84,84,101,30,21.3,1.11,3,0,0,6,3.66,2.19,1,6.45,23.16,0.0,78.94,1
CRI-000009,2025-01-01T07:21:00Z,data_center,high,critical,material_transport_rover,material_transport,day,confined,clear,4,78,77,1029,68,89.08,10.72,3,0,0,0,3.27,2.87,1,7.9,22.71,0.0,77.29,1
CRI-000010,2025-01-01T07:30:00Z,semiconductor_fab,very_high,critical,autonomous_excavator,bulk_excavation,day,flat,clear,3,77,77,3054,70,111.44,51.31,3,0,0,1,2.67,3.28,0,4.5,18.78,23427.94,81.57,0
CRI-000011,2025-01-01T07:39:00Z,hospital,high,critical,autonomous_excavator,bulk_excavation,night,flat,clear,4,76,79,3076,358,328.48,131.41,0,0,0,11,2.59,3.18,0,5.11,21.04,54997.21,82.81,0
CRI-000012,2025-01-01T07:48:00Z,hospital,high,critical,inspection_drone,qa_inspection,day,sloped,clear,2,26,91,19,146,87.36,0.93,3,0,0,0,2.16,2.18,0,2.43,30.97,16312.0,69.03,0
CRI-000013,2025-01-01T07:57:00Z,semiconductor_fab,very_high,critical,rebar_tying_robot,rebar_tying,night,confined,cloudy,2,97,88,69,279,12.9,20.43,3,0,0,2,2.76,3.22,0,10.5,30.37,117339.25,70.33,0
CRI-000014,2025-01-01T08:06:00Z,long_span_bridge,very_high,critical,material_transport_rover,material_transport,day,confined,windy,2,35,78,2516,99,141.7,18.9,3,0,0,5,6.59,4.56,1,6.65,27.6,0.0,74.15,1
CRI-000015,2025-01-01T08:15:00Z,data_center,high,critical,concrete_printing_robot,concrete_printing,day,flat,clear,5,38,93,674,24,51.22,6.95,0,0,0,6,4.07,2.66,1,5.09,5.73,0.0,96.37,1
CRI-000016,2025-01-01T08:24:00Z,semiconductor_fab,very_high,critical,autonomous_excavator,precision_grading,day,flat,clear,4,70,89,1769,103,412.27,67.09,2,0,0,0,2.76,1.57,1,11.38,10.08,0.0,89.92,1
CRI-000017,2025-01-01T08:33:00Z,metro_tunnel,very_high,high,bricklaying_robot,masonry,day,sloped,light_rain,5,46,76,236,136,14.8,12.31,3,0,0,0,6.39,4.76,1,4.63,21.82,0.0,78.18,1
CRI-000018,2025-01-01T08:42:00Z,metro_tunnel,very_high,high,bricklaying_robot,masonry,night,flat,clear,5,51,71,453,180,22.27,21.35,4,0,1,17,4.69,5.53,0,5.27,24.97,74294.68,80.98,0
CRI-000019,2025-01-01T08:51:00Z,airport_terminal,high,high,material_transport_rover,material_transport,day,mixed,clear,3,58,91,1480,279,152.79,42.76,4,0,0,0,4.21,3.19,1,6.65,19.0,0.0,81.0,1
CRI-000020,2025-01-01T09:00:00Z,airport_terminal,high,high,bricklaying_robot,masonry,day,flat,cloudy,3,92,89,306,129,24.89,13.17,1,0,0,0,5.88,6.26,0,5.05,13.63,17174.08,86.37,0
CRI-000021,2025-01-01T09:09:00Z,long_span_bridge,very_high,critical,rebar_tying_robot,rebar_tying,day,flat,clear,3,78,89,121,342,20.97,21.24,3,0,0,0,4.92,4.08,1,10.09,15.06,0.0,84.94,1
CRI-000022,2025-01-01T09:18:00Z,metro_tunnel,very_high,high,rebar_tying_robot,rebar_tying,day,mixed,light_rain,4,33,84,150,306,21.48,22.67,4,0,0,8,9.35,9.15,1,8.23,25.77,0.0,77.03,1
CRI-000023,2025-01-01T09:27:00Z,metro_tunnel,very_high,high,concrete_printing_robot,concrete_printing,day,mixed,clear,4,84,85,179,166,69.0,28.67,2,0,0,0,9.36,5.68,1,3.15,15.37,0.0,84.63,1
CRI-000024,2025-01-01T09:36:00Z,semiconductor_fab,very_high,critical,concrete_printing_robot,concrete_printing,night,flat,clear,4,20,97,588,23,171.7,3.81,4,0,0,0,1.78,2.09,0,9.61,24.7,148639.51,75.3,0
CRI-000025,2025-01-01T09:45:00Z,hospital,high,critical,bricklaying_robot,masonry,day,mixed,cloudy,4,39,96,398,293,7.94,19.77,2,0,0,3,3.13,1.78,1,3.54,16.9,0.0,84.15,1
CRI-000026,2025-01-01T09:54:00Z,data_center,high,critical,bricklaying_robot,masonry,day,mixed,light_rain,5,50,96,356,46,42.0,2.93,3,0,0,3,3.95,4.33,0,7.67,19.66,17684.72,81.39,0
CRI-000027,2025-01-01T10:03:00Z,data_center,high,critical,rebar_tying_robot,rebar_tying,day,flat,windy,4,65,75,44,103,31.08,3.15,0,0,0,0,2.08,1.6,1,4.08,10.26,0.0,89.74,1
CRI-000028,2025-01-01T10:12:00Z,airport_terminal,high,high,material_transport_rover,material_transport,night,sloped,clear,4,33,95,1672,292,188.51,42.64,5,0,0,1,4.52,3.57,1,1.81,22.9,0.0,77.45,1
CRI-000029,2025-01-01T10:21:00Z,metro_tunnel,very_high,high,material_transport_rover,material_transport,night,confined,cloudy,3,86,94,1349,185,315.51,43.33,1,0,0,3,4.52,5.28,0,6.58,23.84,15992.69,77.21,0
CRI-000030,2025-01-01T10:30:00Z,metro_tunnel,very_high,high,rebar_tying_robot,rebar_tying,night,flat,clear,5,53,87,36,143,24.72,7.18,6,0,0,4,8.55,8.84,0,7.95,28.86,42325.37,72.54,0
CRI-000031,2025-01-01T10:39:00Z,airport_terminal,high,high,bricklaying_robot,masonry,day,flat,cloudy,4,60,81,208,138,11.22,6.9,2,0,0,0,3.36,3.11,1,2.46,13.94,0.0,86.06,1
CRI-000032,2025-01-01T10:48:00Z,long_span_bridge,very_high,critical,inspection_drone,progress_scan,night,flat,cold,3,56,70,2,47,84.17,1.38,2,0,0,0,3.63,4.2,0,7.38,25.28,63519.9,74.72,0
CRI-000033,2025-01-01T10:57:00Z,data_center,high,critical,autonomous_excavator,precision_grading,day,sloped,cold,3,27,88,1411,308,403.47,103.77,2,0,0,1,2.74,2.58,1,5.52,28.87,0.0,71.48,0
CRI-000034,2025-01-01T11:06:00Z,long_span_bridge,very_high,critical,bricklaying_robot,masonry,day,mixed,clear,4,44,90,160,142,13.08,5.66,3,0,0,12,3.01,2.6,1,4.47,17.44,0.0,86.76,1
CRI-000035,2025-01-01T11:15:00Z,hospital,high,critical,material_transport_rover,material_transport,night,mixed,high_heat,4,43,83,860,156,307.99,13.84,3,0,0,6,2.33,1.78,1,2.59,30.58,0.0,71.52,0
CRI-000036,2025-01-01T11:24:00Z,airport_terminal,high,high,bricklaying_robot,masonry,day,confined,cloudy,4,95,78,425,314,27.55,11.03,3,0,0,3,5.29,5.95,0,2.22,20.98,19166.24,80.07,0
CRI-000037,2025-01-01T11:33:00Z,semiconductor_fab,very_high,critical,inspection_drone,progress_scan,day,flat,windy,3,60,80,11,230,101.71,3.47,1,0,0,0,2.89,3.24,0,5.83,19.29,96502.65,80.71,0
CRI-000038,2025-01-01T11:42:00Z,hospital,high,critical,inspection_drone,qa_inspection,day,flat,windy,3,64,89,25,46,40.44,1.11,2,0,0,0,3.86,3.31,1,6.35,19.02,0.0,80.98,1
CRI-000039,2025-01-01T11:51:00Z,data_center,high,critical,inspection_drone,qa_inspection,day,confined,cloudy,5,77,100,16,169,78.61,2.46,4,0,0,11,4.5,5.56,0,3.99,17.25,38398.22,86.6,0
CRI-000040,2025-01-01T12:00:00Z,long_span_bridge,very_high,critical,autonomous_excavator,precision_grading,night,flat,light_rain,4,52,96,3204,316,419.64,161.85,5,0,0,3,3.74,3.47,1,7.12,30.15,0.0,70.9,0
CRI-000041,2025-01-01T12:09:00Z,data_center,high,critical,material_transport_rover,material_transport,day,sloped,windy,2,78,92,873,273,349.45,27.08,4,0,0,0,4.9,3.83,1,2.15,28.11,0.0,71.89,0
CRI-000042,2025-01-01T12:18:00Z,data_center,high,critical,material_transport_rover,material_transport,night,flat,clear,4,68,90,2435,214,346.24,41.76,4,0,0,6,4.66,4.15,1,3.03,22.84,0.0,79.26,1
CRI-000043,2025-01-01T12:27:00Z,data_center,high,critical,autonomous_excavator,precision_grading,night,mixed,cold,2,39,92,2128,48,190.34,22.2,2,0,0,4,2.44,2.25,1,2.6,33.39,0.0,68.01,0
CRI-000044,2025-01-01T12:36:00Z,airport_terminal,high,high,rebar_tying_robot,rebar_tying,day,mixed,high_heat,3,50,91,88,299,10.11,14.3,5,0,0,3,4.04,3.88,1,2.65,25.84,0.0,75.21,1
CRI-000045,2025-01-01T12:45:00Z,semiconductor_fab,very_high,critical,concrete_printing_robot,concrete_printing,day,mixed,clear,5,55,70,381,24,117.06,5.75,5,0,0,1,2.49,1.45,1,11.14,18.77,0.0,81.58,1
